Candidato,Distrito,Lista,Pacto,Partido,votacion
ABERNEGO JOB MARDONES RIQUELME,24,N,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,1951
ADRIANA VERGARA MANQUE,5,O,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,977
ADRIANA ROMAN TAPIA,16,G,FRENTE AMPLIO,INDEPENDIENTE HUMANISTA,2238
AGUSTIN GONZALEZ MORENO,5,G,FRENTE AMPLIO,HUMANISTA,904
ALAN FANCELLI ESMAR,9,B,POR TODO CHILE,PROGRESISTA,1378
ALBERTO MAYOL MIRANDA,10,G,FRENTE AMPLIO,INDEPENDIENTE IGUALDAD,50752
ALEJANDRA FLORES DE LA VEGA,20,H,SUMEMOS,AMPLITUD,1225
ALEJANDRA NOVOA SANDOVAL,14,P,CHILE VAMOS,RENOVACION NACIONAL,17155
ALEJANDRA SEPULVEDA ORBENES,16,K,COALICION REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,31737
ALEJANDRA BRAVO HIDALGO,8,P,CHILE VAMOS,REGIONALISTA INDEPENDIENTE,14323
ALEJANDRA DANIELA ARCOS ROSAS,25,K,COALICION REGIONALISTA VERDE,INDEPENDIENTE DEMOCRACIA REGIONAL PATAGONICA,234
ALEJANDRA MARGARITA DIAZ MALUENDA,5,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,1465
ALEJANDRA MONASTERIO RIVAS,8,O,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE DEMOCRATA CRISTIANO,4214
ALEJANDRA POZO CORTEZ,3,N,LA FUERZA DE LA MAYORIA,INDEPENDIENTE COMUNISTA DE CHILE,3104
ALEJANDRA RAMIREZ VERDUGO,18,P,CHILE VAMOS,RENOVACION NACIONAL,6019
ALEJANDRA SAA CARRASCO,9,N,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,3369
ALEJANDRA SEPULVEDA RIOS,19,H,SUMEMOS,INDEPENDIENTE AMPLITUD,1221
ALEJANDRA SOLANGE NAVARRETE CARRASCO,9,B,POR TODO CHILE,PROGRESISTA,2866
